,status_kep_rumah,penghasilan_utm_ayah,penghasilan_tmbh_ayah,penghasilan_utm_ibu,penghasilan_tmbh_ibu,pajak_r2,pajak_r4,daya_listrik,pbb,skor_ukt,ukt_sebelum_sanggah
210,0,10,11,0,0,5.0,3.0,3,0.0,6.74,5.0
211,1,7,0,7,0,2.0,1.0,2,1.0,7.15,6.0
212,1,11,0,0,0,3.0,3.0,3,0.0,6.83,5.0
213,1,8,0,9,0,6.0,0.0,3,1.0,7.18,6.0
214,1,10,0,0,0,0.0,2.0,9,7.0,7.13,6.0
215,1,6,0,0,0,4.0,0.0,3,1.0,5.36,4.0
216,1,10,0,0,0,2.0,2.0,5,2.0,7.22,6.0
217,1,8,0,5,0,1.0,1.0,4,1.0,10.0,8.0
218,1,10,0,9,0,4.0,1.0,4,0.0,8.18,7.0
219,1,12,0,0,0,5.0,4.0,6,0.0,7.43,6.0
220,1,8,0,0,0,4.0,0.0,3,1.0,5.74,5.0
221,1,5,0,0,0,5.0,0.0,2,0.0,4.97,4.0
222,0,6,0,0,0,3.0,0.0,3,0.0,4.79,4.0
223,1,12,0,0,0,4.0,0.0,4,1.0,6.09,5.0
224,0,10,0,0,0,6.0,0.0,3,0.0,5.43,4.0
225,1,10,0,0,0,5.0,0.0,3,1.0,5.91,5.0
226,1,7,0,4,0,3.0,2.0,4,1.0,7.15,6.0
227,1,11,0,0,0,3.0,3.0,4,2.0,7.09,6.0
228,0,8,0,0,0,0.0,0.0,2,0.0,4.57,4.0
229,1,0,0,9,0,2.0,2.0,2,0.0,6.44,5.0
230,0,8,0,0,0,2.0,0.0,3,0.0,5.17,4.0
231,1,7,0,0,0,1.0,0.0,3,1.0,5.27,4.0
232,1,9,0,0,0,2.0,0.0,3,2.0,5.66,5.0
233,1,12,0,0,0,6.0,4.0,3,1.0,7.13,6.0
234,1,12,0,0,0,1.0,4.0,4,0.0,7.17,6.0
235,1,0,0,9,0,2.0,2.0,4,0.0,6.79,6.0
236,1,7,0,0,0,4.0,0.0,2,1.0,5.27,4.0
237,1,3,0,0,0,1.0,0.0,3,0.0,4.57,4.0
238,1,11,0,0,0,3.0,2.0,2,1.0,6.7,5.0
239,1,11,0,0,0,1.0,3.0,4,3.0,7.17,6.0
240,1,7,5,0,0,3.0,1.0,4,0.0,6.31,5.0
241,1,6,0,0,0,7.0,3.0,2,2.0,6.44,5.0
